Order [timestamp=2017-10-05T10:00:44, broker=Ameriprise Financial, sequenceId=2, type=K, symbol=LGHT, quantity=800, price=98.765, side=Sell]
Order [timestamp=2017-10-05T10:00:44, broker=Ameriprise Financial, sequenceId=3, type=2, symbol=LOUD, quantity=400, price=10.96, side=Sell]
Order [timestamp=2017-10-05T10:01:52, broker=Ameriprise Financial, sequenceId=4, type=2, symbol=BRIC, quantity=460, price=30.705, side=Sell]
Order [timestamp=2017-10-05T10:02:01, broker=Ameriprise Financial, sequenceId=5, type=K, symbol=KRIL, quantity=500, price=6.075, side=Buy]
Order [timestamp=2017-10-05T10:02:16, broker=Ameriprise Financial, sequenceId=6, type=K, symbol=HOOF, quantity=150, price=39.1, side=Buy]
Order [timestamp=2017-10-05T10:04:12, broker=Ameriprise Financial, sequenceId=8, type=2, symbol=GLOO, quantity=500, price=40.01, side=Sell]
Order [timestamp=2017-10-05T10:05:24, broker=Ameriprise Financial, sequenceId=10, type=2, symbol=VELL, quantity=100, price=12, side=Sell]
Order [timestamp=2017-10-05T10:06:06, broker=Ameriprise Financial, sequenceId=11, type=K, symbol=LOUD, quantity=200, price=10.95, side=Buy]
Order [timestamp=2017-10-05T10:06:58, broker=Ameriprise Financial, sequenceId=12, type=2, symbol=BARK, quantity=400, price=88.3, side=Buy]
Order [timestamp=2017-10-05T10:07:11, broker=Ameriprise Financial, sequenceId=13, type=2, symbol=CARD, quantity=8000, price=6.555, side=Buy]
Order [timestamp=2017-10-05T10:09:04, broker=Ameriprise Financial, sequenceId=14, type=K, symbol=GLOO, quantity=200, price=140.005, side=Buy]
Order [timestamp=2017-10-05T10:11:02, broker=Ameriprise Financial, sequenceId=16, type=K, symbol=LGHT, quantity=100, price=140.1, side=Sell]
Order [timestamp=2017-10-05T10:11:51, broker=Ameriprise Financial, sequenceId=17, type=K, symbol=HOOF, quantity=100, price=39.11, side=Buy]
Order [timestamp=2017-10-05T10:12:21, broker=Ameriprise Financial, sequenceId=18, type=2, symbol=LOUD, quantity=200, price=10.95, side=Sell]
Order [timestamp=2017-10-05T10:14:01, broker=Ameriprise Financial, sequenceId=19, type=K, symbol=KRIL, quantity=500, price=6.075, side=Buy]
Order [timestamp=2017-10-05T10:15:02, broker=Ameriprise Financial, sequenceId=20, type=K, symbol=HOOF, quantity=150, price=39.1, side=Buy]
Order [timestamp=2017-10-05T10:17:03, broker=Ameriprise Financial, sequenceId=21, type=K, symbol=LGHT, quantity=800, price=98.765, side=Sell]
